标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
《新一代人工智能治理原则》,国家新一代人工智能治理专业委员会,2021-09,伦理规范,"伦理意识,行为自觉,负责任",《新一代人工智能治理原则——发展负责任的人工智能》是为促进新一代人工智能健康发展，更好协调发展与治理的关系，确保人工智能安全可靠可控，推动经济、社会及生态可持续发展，共建人类命运共同体，人工智能发展相关各方应遵循的原则。由国家新一代人工智能治理专业委员会于2019年6月17日印发实施。,https://mp.weixin.qq.com/s/FnC9hIe2LDcwujSKnAKnSA
《网络数据安全标准体系建设指南》（征求意见稿）,工业和信息化部科技司,2020-04,法律法规,"网络数据安全保护能力,网络数据安全,数字经济","为落实《中华人民共和国网络安全法》《全国人民代表大会常务委员会关于加强网络信息保护的决定》《电信和互联网用户个人信息保护规定》等法律法规要求，有效提升电信和互联网行业网络数据安全保护能力，充分发挥标准在保障网络数据安全、推动行业健康有序发展中的引领和支撑作用，助力数字经济高质量发展，有关单位编制完成了《网络数据安全标准体系建设指南》（征求意见稿）及编制说明（见附件1、2）。
为进一步听取社会各界意见，现予以公示，公示日期截止2020年5月9日。如有意见或建议，请在公示期间填写《公示意见反馈信息表》（见附件3）并反馈至工业和信息化部科技司，电子邮件发送至KJBZ@miit.gov.cn（邮件主题注明：网络数据安全标准体系建设指南公示反馈）。",http://www.djbh.net/webdev/web/PolicyStandardsAction.do?p=getJcbz&id=8a81825671a5dfe50171b416cf930008
《网络数据安全管理条例(征求意见稿)》,国家互联网信息办公室,2021-11,政策规划,"数据安全管理,网络数据处理活动,国家安全,公共利益",为落实《中华人民共和国网络安全法》《中华人民共和国数据安全法》《中华人民共和国个人信息保护法》等法律关于数据安全管理的规定，规范网络数据处理活动，保护个人、组织在网络空间的合法权益，维护国家安全和公共利益，根据国务院2021年立法计划，我办会同相关部门研究起草《网络数据安全管理条例（征求意见稿）》，现向社会公开征求意见。,http://www.ncsti.gov.cn/kjdt/tzgg/202111/t20211115_51269.html
中华人民共和国个人信息保护法,第十三届全国人民代表大会,2021-08,法律法规,"个人信息,国家机关处理,法律责任",正式通过的《个人信息保护法》全文共计八章七十四条，围绕个人信息的处理，从处理规则、跨境提供、个人权力、处理者义务、保护职责部门以及法律责任等不同角度确立了相应规则，并且针对敏感个人信息和国家机关处理强调了特别规则。其出发点是保护个人对于个人信息处理享有的权力，厘清企业等个人信息处理者应当遵循的规则和履行的义务，同时明确违法和侵权行为的法律责任。,http://www.npc.gov.cn/npc/c30834/202108/a8c4e3672c74491a80b53a172bb753fe.shtml
中华人民共和国数据安全法,第十三届全国人民代表大会,2021-06,法律法规,"数据安全,国家安全,法律框架","2021年6月10日，《中华人民共和国数据安全法》(以下简称《数据安全法》)正式颁布，并将于2021年9月1日起正式实施。《数据安全法》(2021)将与《国家安全法》(2015)、《网络安全法》(2017)、《网络安全审查办法》(2020)共同构成我国数据安全范畴下的法律框架。《数据安全法》作为我国第一部专门规定“数据”安全的法律，明确对“数据”的规制原则。

        一、明确将数据安全上升到国家安全范畴

        新出台的《数据安全法》第四条明确“维护数据安全，应当坚持总体国家安全观”，并将“维护国家主权、安全和发展利益”写入本法的立法目的条款中。随着世界数据化进程的加快，各企业商业模式也在随之改变，例如采用基于数据智能驱动的商业模式的公司“滴滴”，这些公司在运营过程中无可避免地涉及数据使用的一系列问题。随着数据跨境流动等趋势的愈发常见，数据已然转换为关乎国家安全价值的利益形态，特别是当其掌握的数据足够丰富时，经过数据分析处理得出的结果极可能包含国家隐私核心数据，这些核心数据的不当使用可能引发国家安全问题，主要包括涉及国家安全数据的审查、境外数据对国家安全的侵犯和相关数据的境外传输问题。《数据安全法》从数据全场景构建数据全监管体系，明确行业主管部门对本行业、本领域的数据安全监管职责，指出公安机关、国家安全机关等依照本法和有关法律、行政法规的规定，在各自职责范围内承担数据安全监管职责，而监管细节有待进一步的规定。",http://www.npc.gov.cn/npc/c30834/202106/7c9af12f51334a73b56d7938f99a788a.shtml
汽车数据安全管理若干规定 (征求意见稿),国家互联网信息办公室,2021-05,法律法规,"个人信息,数据保护,汽车数据安全",为加强个人信息和重要数据保护，规范汽车数据处理活动，根据《中华人民共和国网络安全法》等法律法规，国家互联网信息办公室会同有关部门起草了《汽车数据安全管理若干规定（征求意见稿）》，现向社会公开征求意见。公众可通过以下途径和方式提出反馈意见,https://www.secrss.com/articles/32955
云南省人民政府关于印发云南省新一代人工智能发展规划（云南省人民政府）,云南省人民政府,2019-11,政策规划,"人工智能,产业生态,创新驱动",为贯彻落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）精神，抢抓人工智能发展战略机遇，推动新一代人工智能技术在我省经济社会各领域应用和推广，带动产业生态体系建设，促进新旧动能转化，培育发展新动能，制定本规划。,http://www.yn.gov.cn/zwgk/zcwj/yzf/201911/t20191122_185001.html
关于印发四川省新一代人工智能发展实施方案川函〔2018〕151号,四川省政府,2018-09,政策规划,"数字经济,创新驱动,发展",为深入贯彻落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）和省委十一届三次全会决策部署，加快我省新一代人工智能发展，抢占数字经济发展制高点，培育经济发展新动能，加快建成国家创新驱动发展先行省和创新型四川，特制定本方案。,http://www.sc.gov.cn/10462/11555/11562/2018/11/8/10462510.shtml?from=groupmessage
广东省人民政府关于印发广东省新一代人工智能发展规划的通知,广东省人民政府,2018-08,法律法规,"广东,人工智能,治理体系",为贯彻落实党的十九大精神和习近平总书记重要讲话精神，主动把握新一代人工智能发展重大战略机遇，加快建设国家科技产业创新中心，奋力实现“四个走在全国前列”，根据国务院《新一代人工智能发展规划》（国发〔2017〕35号），结合广东实际，制定本规划。,http://www.gd.gov.cn/gkmlpt/content/0/147/post_147108.html#7
科技工作者道德行为自律规范,江苏省计算机学会,2017-08,法律法规,"人工智能,道德行为,自律规范",科技工作者道德行为自律规范（中国科协第九届常务委员会第四次会议审议通过）,https://www.jscs.org.cn/x1.php?id=96
《人工智能深度学习算法评估规范》,中国科学院软件研究所作为技术牵头单位，中国电子技术标准化研究院出台,2018-07,法律法规,"人工智能,深度学习,规范,算法","人工智能的迅速发展正在深刻改变人类社会生活、改变世界，其技术和应用正经历快速发展的阶段。
根据GB/T 5271.28-2001《信息技术 词汇 第28部分:人工智能 基本概念与专家系统》中的定义，“人工
智能是表现出与人类智能（如推理和学习）相关的各种功能单元的能力。”机器学习是人工智能的核心
技术之一，是使计算机具有智能的重要途径，其应用遍及人工智能的各个领域。深度学习是机器学习的
一个子集，发源于人工神经网络的研究，通常也称为深度神经网络，是一种基于数据进行表征学习的方
法。目前，深度学习算法在金融、安防、医疗等领域得到广泛应用，国务院发布的《新一代人工智能发
展规划》中指出，人工智能进入新的发展阶段，“呈现出深度学习、跨界融合、人机协同、群智开放、
自主操控等新特征。”
然而，业界缺乏对深度学习算法可靠性、可移植性、效率等的系统性评估方法，一定程度上影响着
深度学习的广泛应用和技术发展。本标准此版本仅针对人工智能深度学习算法的可靠性评估进行要求。
随着研究的深入及应用的发展，后续将不断进行持续改进，逐渐扩展到深度学习算法可移植性、效率等
方面的评估。
中国电子技术标准化研究院作为国际标准化组织ISO/IEC JTC1/SC42（人工智能分技术委员会）的
国内技术归口单位，在本标准研制过程中，充分发挥了组织协调和技术方向把关作用。标准编写组聚集
了国内人工智能深度学习领域的技术专家，开展了多种形式的专题研讨和征求意见活动，在保证标准科
学性、合理性和可行性的同时，也确保了标准研制过程的公开性和透明性。
本标准的研制工作，得到了中国人工智能开源软件发展联盟专家委员会的指导和支持，专家委员会
主任委员、中国科学院院士、华东师范大学计算机科学与软件工程学院院长何积丰院士和各位专家对标
准内容和文稿进行了深入严谨的讨论，给出了许多切实可行的意见，对标准质量提升和标准内容完善起
到关键性作用。
使用帮助信息：任何单位和个人在使用本标准的过程中，若存在疑问，或有对本标准的改进建议和
意见，请与中国电子技术标准化研究院（中国人工智能开源软件发展联盟 秘书处）联系。
电话：010-64102848；电子邮件：aioss@cesi.cn
通信地址：北京东城区安定门东大街1号（100007）
版权声明：本标准版权受法律保护，转载、摘编或利用其它方式使用本标准内容的，应注明出处。
违反上述声明者，本联盟将追究其相关法律责任。
为了推动本标准的持续改进，使其内容更加贴近用户组织的实际需求，欢迎社会各方力量参加本标
准的持续改进，本标准的更多信息欢迎关注“中国人工智能开源软件发展联盟”公众号",http://www.cesi.cn/images/editor/20180703/20180703174359294.pdf
《数据安全管理办法》（征求意见稿）,国家互联网信息办公室,2019-05,法律法规,"以人为本,数据安全",为了维护、社会公共利益，保护公民、法人和其他组织在网络空间的合法权益，保障和重要，根据等法律法规，制定本办法。,https://www.sohu.com/a/316948876_653604
《电子商务法》,十三届全国人民代表大会,2018-08,法律法规,"电子商务,法规,合法利益",为了保障电子商务各方主体的合法权益，规范电子商务行为，维护市场秩序，促进电子商务持续健康发展，制定本法。,http://www.npc.gov.cn/npc/c30834/201808/5f7ac8879fa44f2aa0d52626757371bf.shtml
人工智能视觉隐私保护第1部分：通用 技术要求,中关村视听产业技术创新联盟,2020-12,政策规划,"人工智能,视觉隐私保护,通用 技术",本文件规定了人工智能技术中涉及视觉隐私保护的通用技术要求，给出了隐私数据控制者的义务、保障措施等约束行为和视觉隐私数据保护定级指南。,http://www.ttbz.org.cn/StandardManage/Detail/46108/
信息技术人工智能小样本机器学习样 本量和算法要求,中国电子工业标准化技术协会,2019-04,政策规划,"人工智能,小样本,机器学习,算法",本标准规定了小样本机器学习算法在不同场景情况下的样本量及算法的要求，适用于小样本机器学习相关产品。,http://www.ttbz.org.cn/StandardManage/Detail/28143/
信息技术人工智能服务器系统性能测试规范,中国电子工业标准化技术协会,2021-04,政策规划,"人工智能,服务器系统,性能测试","人工智能服务器，人工智能服务器集群及高性能计算中心，是当前各行业应用中，承载人工智能计
算的主要形态，已被广泛采用。人工智能计算与通用计算相比，有大数据量、大量并行处理等特征。人
工智能计算设备的性能关系到各行业实施人工智能应用的效率和成本。然而，因为设备实现技术的多样
性、各行业应用能力差异和大数据量训练需求、高并发推理需求等因素，设备实际性能成为应用关注的
重点。对人工智能计算系统的性能瓶颈识别和验证，是推进人工智能应用优化，提升效能的先决条件。
人工智能服务器，人工智能集群及高性能计算中心的性能是系统整体的综合体现，但因其构造的复
杂性，其性能可被系统内部各子环节的性能影响。这要求考察除端到端运行时间、能耗之外的，更加细
致、全面的运行时特征，方便分析、识别系统性能瓶颈。为此，应结合测试科学，规划和设计指标，为
用户人工智能应用的优化找出科学依据，创造条件。
通用场景（如图像分类等）涉及的模型负载及数据集，因其结构、规模及数据，与各行业实际应用
之间存在差异，不能完整地验证行业人工智能系统的性能的真实水平。行业应用的性能测试，需要引入
各行业领域中的常见场景。
本文件的提出，旨在提供规范化的、较为全面的、兼顾行业常见场景的人工智能服务器，人工智能
服务器集群及高性能计算中心的性能测试方法和指标，为各领域用户人工智能计算系统的优化提供依据
和途径。",http://www.ttbz.org.cn/Home/Show/24144/
信息技术人工智能服务能力成熟度评 价参考模型,中国电子工业标准化技术协会,2019-04,政策规划,"人工智能,服务能力,模型","本标准提出了人工智能服务能力成熟度评价参考模型，规定了成熟度等级、能力框架和评价方法, 适用于对云服务提供商提供的人工智能服务能力的成熟度评估，以及服务能力成熟度模型中某项能力主域、能力子域的单项评估",http://www.ttbz.org.cn/StandardManage/Detail/28166/
信息技术人工智能面向机器学习的数 据标注规程,中国电子工业标准化技术协会,2019-04,政策规划,"人工智能,机器学习,数据标注",本标准确立了数据标注规程框架，规定了数据标注的具体规程，适用于面向人工智能研究或开发应用等需要实施数据标注的企业、高校、科研院所、政府机构等,http://www.ttbz.org.cn/StandardManage/Detail/28148/
信息技术人工智能面向机器学习的系统框架和功能要求,中国电子工业标准化技术协会,2019-04,政策规划,"人工智能,机器学习,系 统框架,功能要求",本标准给出了面向机器学习的系统框架，规定了系统整体及各组件的功能要求，适用于各领域人工智能系统及解决方案的规划、设计，可作为评估、选型及验收的依据,http://www.ttbz.org.cn/StandardManage/Detail/28146/
信息技术人工智能风险评估模型,中国电子工业标准化技术协会,2021-07,政策规划,"人工智能,风险,评估模型","本文件规定了人工智能领域产品的风险评估模型，包括风险能力等级、风险要素、风险能力要求，
给出了判定人工智能产品的风险评估等级的方法。
本文件适用于指导人工智能产品开发方、用户方以及第三方等相关组织对人工智能产品风险开展评
估工作",http://www.ttbz.org.cn/Home/Show/26993/
自动驾驶车辆道路测试能力评估内容与 方法,中关村智通智能交通产业联盟,2020-11,政策规划,"自动驾驶,车辆,道路测试",本标准规定了自动驾驶车辆道路测试能力的评估内容、评估操作要求和评估判断。,http://www.ttbz.org.cn/StandardManage/Detail/39736/
《浙江省公共数据条例》,浙江省第十三届人民代表大会第六次会议主席团,2022-03,政策规划,"公共数据,数据处理,共享开放,数据安全保障",《浙江省公共数据条例》已于2022年1月21日经浙江省第十三届人民代表大会第六次会议通过，现予公布，自2022年3月1日起施行。,https://www.163.com/dy/article/GUKU64AJ0518KCLG.html
人工智能产业担当宣言,智源研究院,2021-08,伦理规范,"数据隐私,算法偏见,技术滥用,AI系统安全","作为引领第四次科技革命的战略性技术，人工智能虽然在纯技术层面是价值中立的，但在实际应用中，兼具创造性和破坏性。数据隐私、算法偏见、技术滥用等安全问题正给社会公共治理与产业智能化转型带来严峻挑战。

为了更好的推动人工智能技术创新和产业稳健发展，形成更完备规范的创新体系和产业生态，日前，在首届全球数字经济大会的人工智能产业治理论坛上，由北京智源人工智能研究院和瑞莱智慧共同发起，百度、华为、蚂蚁集团、寒武纪、爱笔科技、第四范式、出门问问等在内数十家研究机构与创新企业联合参与的首个《人工智能（AI）产业担当宣言》正式发布，强调中国科技企业在推动人工智能自律自治稳健发展中应积极承担的责任。",https://new.qq.com/omn/20210804/20210804A06UJM00.html
国务院关于印发“十四五”数字经济发展规划的通知,国务院,2021-12,政策规划,"数字政府,数字产业化,数字化服务,数字经济治理体系",数字经济是继农业经济、工业经济之后的主要经济形态，是以数据资源为关键要素，以现代信息网络为主要载体，以信息通信技术融合应用、全要素数字化转型为重要推动力，促进公平与效率更加统一的新经济形态。数字经济发展速度之快、辐射范围之广、影响程度之深前所未有，正推动生产方式、生活方式和治理方式深刻变革，成为重组全球要素资源、重塑全球经济结构、改变全球竞争格局的关键力量。“十四五”时期，我国数字经济转向深化应用、规范发展、普惠共享的新阶段。为应对新形势新挑战，把握数字化发展新机遇，拓展经济发展新空间，推动我国数字经济健康发展，依据《中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要》，制定本规划。,http://www.gov.cn/zhengce/content/2022-01/12/content_5667817.htm?trs=1
解读：《金融数据安全 数据安全评估规范》,全国金融标准化技术委员会,2021-12,政策规划,"数字资产,金融数据安全评估,隐私政策,脱敏",2021年12月3日，全国金融标准化技术委员会发布公告，就《金融数据安全数据安全评估规范》（以下简称“规范”）征求意见。,https://mp.weixin.qq.com/s/ihwtHlYfa7xjcwOTPceoUw
车联网网络安全和数据安全标准体系建设指南,工业和信息化部,2022-02,政策规划,"车联网,网络安全,数据安全","车联网是新一代网络通信技术与汽车、电子、道路交通
运输等领域深度融合的新兴产业形态，呈现蓬勃发展的良好
态势。随着汽车电动化、网联化、智能化交融发展，车辆运
行安全、数据安全和网络安全风险交织叠加，安全形势更加
复杂严峻，亟需加快建立健全车联网网络安全和数据安全保
障体系，为车联网产业安全健康发展提供支撑。
为贯彻落实《中华人民共和国网络安全法》《中华人民
共和国数据安全法》《关键信息基础设施安全保护条例》，
根据《新能源汽车产业发展规划（2021-2035 年）》《车联
网（智能网联汽车）产业发展行动计划》《汽车数据安全管
理若干规定》《关于加强车联网网络安全和数据安全工作的
通知》要求，工业和信息化部在现有国家车联网产业标准体
系的基础上，组织编制了《车联网网络安全和数据安全标准
体系建设指南》，用于指导相关标准研制。",http://www.gov.cn/zhengce/zhengceku/2022-03/07/content_5677676.htm
中共中央办公厅 国务院办公厅印发《关于加强科技伦理治理的意见》,"中共中央办公厅,国务院办公厅",2022-03,政策规划,"科技伦理治理,科技伦理体系,科技伦理知识",新华社北京3月20日电 近日，中共中央办公厅、国务院办公厅印发了《关于加强科技伦理治理的意见》，并发出通知，要求各地区各部门结合实际认真贯彻落实。,http://www.chinanews.com.cn/gn/2022/03-20/9707124.shtml
互联网信息服务算法推荐管理规定,"国家市场监督管理总局,国家互联网信息办公室,工业和信息化部,公安部",2022-01,政策规划,"算法推荐技术,用户自主选择机制,干预信息",《互联网信息服务算法推荐管理规定》已经2021年11月16日国家互联网信息办公室2021年第20次室务会议审议通过，并经工业和信息化部、公安部、国家市场监督管理总局同意，现予公布，自2022年3月1日起施行。,http://wzhd.gxnews.com.cn/staticpages/20220104/newgx61d3cf42-20600148.shtml
网信办《互联网弹窗信息推送服务管理规定》公开征求意见,国家互联网信息办公室,2022-03,政策规划,"弹窗信息,推送服务,网络安全,数据安全,个人信息保护",为了进一步规范互联网弹窗信息推送服务管理，保障公民、法人和其他组织的合法权益，弘扬社会主义核心价值观，营造清朗网络空间，根据《中华人民共和国网络安全法》《中华人民共和国未成年人保护法》《中华人民共和国广告法》《互联网信息服务管理办法》《网络信息内容生态治理规定》等法律法规，我办起草了《互联网弹窗信息推送服务管理规定（征求意见稿）》，现向社会公开征求意见。,https://www.secrss.com/articles/39851
重磅！国家标准《信息技术人工智能知识图谱技术框架》征求意见稿发布，35页pdf详细规定知识图谱技术框架,国家市监总局和国家标准化委员会,2022-02,政策规划,"知识图谱,人工智能技术,数字基础设施",本文件给出了知识图谱的技术框架中知识图谱供应方、知识图谱集成方、知识图谱用户、知识图 谱生态合作伙伴的主要活动、任务组成和质量一般性能等。本文件适用于知识图谱及其应用系统的构建、应用、实施与维护。,https://mp.weixin.qq.com/s?__biz=MzI3MTA0MTk1MA==&mid=2652174174&idx=3&sn=e380110ffe8239eceb99487478655600&chksm=f12783afc6500ab9e7d1fe61fbbdefaaadf5f2514ffd46dfdd92db566bbfdf98257353c9d9ec&scene=126&&sessionid=1646564668#rd
